"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"9","-0.995","-0.6463","0.0845","PID_TGFBR_
PATHWAY%MSIGDB_
C2%PID_TGFBR_
PATHWAY","1.0","GRB2|MAP3K7|AXIN1|SOS1|EIF2A|FKBP1A|PML|PPP1R15A|WWP1|SHC1|ZFYVE9|ITCH|PDPK1|SMAD4|RNF111|CTNNB1|ZFYVE16|PPP2CA|SPTBN1|PPP2R2A|TGFB1|RPS6KB1|SKIL|SMAD2|TGFBR1|TGFBR2|TGFBR3|SMURF2|SMURF1|ARRB2","PID_TGFBR_PATHWAY","30","ENR","PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY","-1.4315","0.005","PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY",,,"false","PID_TGFBR_PATHWAY%MSIGDB_C2%PID_TGFBR_PATHWAY"
"9","-1.0","-0.6118","0.0763","TGF-BETA 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP366%HOMO 
SAPIENS ","1.0","SUMO1|CDKN2B|TGIF1|MYC|AXIN1|SRC|UCHL5|MEF2C|PJA1|RBL2|ZEB2|PML|RBL1|STAMBPL1|RAF1|E2F4|E2F5|TRAF6|MAPK9|SKI|MAP2K2|WWP1|SHC1|ITCH|SKP1|ITGB1|PIK3R1|MAP4K1|SMAD4|MAPK1|EID2|ZFYVE16|DCP1A|MAP2K1|SKIL|FOXP3|HDAC1|RUNX2|ATF2|SIN3A|THBS1|UBE2I|KLF10|PIAS2|RAC1|MAPK8|NEDD9|GRB2|MAP3K7|SOS1|ROCK1|MAP2K4|CREBBP|APP|LIMK2|ITGB3|SNW1|CDC42|EP300|NUP214|TNC|TFDP1|KLF6|CDKN1A|JUN|HGS|SPTBN1|PIK3R2|TGFB1|RBX1|PIAS1|NUP153|FOS|SMAD2|ITGA2|JUNB|TGFBR1|TGFBR3|SIK1|TGFBR2|JUND|SMURF2|SP1|MAP2K3|SMURF1|MAPK14|SNIP1|COPS5|MAP2K6","TGF-beta Signaling Pathway","89","ENR","TGF-BETA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP366%HOMO SAPIENS","-1.4454","0.0","TGF-BETA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP366%HOMO SAPIENS",,,"false","TGF-BETA SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP366%HOMO SAPIENS"
"9","-0.999","-0.6224","0.0856","TGF-BETA 
RECEPTOR 
SIGNALING%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%TGF-BETA 
RECEPTOR 
SIGNALING ","1.0","GRB2|AXIN1|MAP3K7|SOS1|OCLN|EIF2A|YWHAE|FKBP1A|PML|SMAD7|PPP1R15A|TAB2|SMAD3|WWP1|ITCH|SHC1|ZFYVE9|PDPK1|NEDD4L|SMAD4|TGFB3|RNF111|CTNNB1|PPP1CA|STRAP|ZFYVE16|TGFBRAP1|PPP2CA|PPP2CB|SPTBN1|PPP2R2A|DAB2|DYNLRB1|DAXX|TGFB1|RPS6KB1|SMAD2|TGFBR1|TGFBR2|TGFBR3|TAB1|SMURF2|SMURF1|ARRB2|XIAP","TGF-beta receptor signaling","45","ENR","TGF-BETA RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TGF-BETA RECEPTOR SIGNALING","-1.4289","0.001","TGF-BETA RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TGF-BETA RECEPTOR SIGNALING",,,"false","TGF-BETA RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TGF-BETA RECEPTOR SIGNALING"
"9","-1.0","-0.6105","0.0712","TGF_BETA_
RECEPTOR%NETPATH%TGF_
BETA_RECEPTOR","1.0","SUMO1|TGIF1|AXIN1|MYC|AXIN2|UCHL5|PJA1|RBL2|FKBP1A|BRCA1|ZEB2|RBL1|ENG|FZR1|STAMBPL1|RAF1|E2F4|E2F5|TRAF6|NFYA|PIK3CA|NFYB|NFYC|SKI|SPARC|MAP2K2|SHC1|ZFYVE9|UBE2D2|SKP1|UBE2D3|UBE2D1|PIK3R1|CDC23|SMAD4|CDC27|MAPK1|RNF111|VPS39|EID2|ZFYVE16|EWSR1|ANAPC5|MAPK3|ANAPC1|ANAPC2|GSK3B|SDC2|ANAPC10|MAP2K1|SNX4|SNX1|CAMK2D|RPS6KB1|SNX2|SKIL|HDAC1|RUNX2|CAMK2G|CTCF|PIAS2|MAP3K7|DDX5|ROCK1|FOXO4|ITGB3|PPP1R15A|TCF4|NUP214|IKBKB|CHUK|PDPK1|CDKN1A|CTNNB1|HGS|SPTBN1|PIK3R2|TGFB1|CD44|NCOA1|NUP153|RPS6KA5|TGFBR1|SIK1|TGFBR2|SP1|MAP2K3|MAPK14|RB1|MAP2K6|NFKB1|CDK2|SRC|MEF2C|CSNK1G2|CDK6|PRKAR1B|PML|CRK|WWP1|ITCH|ITGB1|MAP4K1|PPP2CA|PPP2R2A|STK11|DCP1A|PPP2R1A|ATF2|SNX6|MTOR|UBE2I|CDK4|KLF10|PARD3|OLIG1|SAMD3|PPP1CC|RUNX3|MAPK8|GRB2|SOS1|CREBBP|PXN|FOXO1|DVL1|NFKBIA|SNW1|EP300|KAT2B|TFDP1|TFDP2|JUN|RUNX1|CTNNA1|RBX1|PIAS1|FNTA|FOXO3|SMAD2|FOS|JUNB|CTNNA2|JUND|TGFBR3|SMURF2|STK11IP|SMURF1|SNIP1|IRF2BP1|EIF4EBP1|COPS5|ARRB2|MED15|XPO4","TGF_beta_Receptor","155","ENR","TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR","-1.4568","0.0","TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR",,,"false","TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR"
"9","-1.0","-0.6148","0.0669","TGF_BETA_
RECEPTOR%IOB%TGF_
BETA_RECEPTOR","1.0","SUMO1|TGIF1|AXIN1|MYC|AXIN2|UCHL5|PJA1|RBL2|FKBP1A|BRCA1|ZEB2|RBL1|ENG|FZR1|STAMBPL1|E2F4|RAF1|E2F5|NFYA|NFYB|NFYC|SKI|SPARC|ZFYVE9|SHC1|UBE2D2|SKP1|UBE2D3|UBE2D1|CDC23|PIK3R1|SMAD4|CDC27|MAPK1|RNF111|VPS39|EID2|ZFYVE16|EWSR1|MAPK3|ANAPC5|ANAPC1|ANAPC2|SDC2|ANAPC10|SNX4|CAMK2D|SNX1|SNX2|SKIL|HDAC1|RUNX2|CAMK2G|CTCF|PIAS2|MAP3K7|ROCK1|DDX5|FOXO4|NUP214|CDKN1A|CTNNB1|HGS|SPTBN1|PIK3R2|TGFB1|CD44|NCOA1|NUP153|TGFBR1|TGFBR2|SP1|MAP2K3|MAPK14|RB1|MAP2K6|CDK2|MEF2C|CDK6|CSNK1G2|PRKAR1B|PML|PRKCB|CRK|ITCH|MAP4K1|PPP2CA|PPP2R2A|STK11|DCP1A|ATF2|SNX6|CDK4|PARD3|MAPK8|GRB2|SOS1|CREBBP|PXN|FOXO1|DVL1|SNW1|EP300|KAT2B|TFDP1|TFDP2|JUN|RBX1|PIAS1|FNTA|FOXO3|SMAD2|FOS|JUNB|JUND|TGFBR3|SMURF2|STK11IP|SMURF1|SNIP1|IRF2BP1|COPS5|ARRB2|MED15|XPO4","TGF_beta_Receptor","125","ENR","TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR","-1.4677","0.0","TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR",,,"false","TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR"
"40","-1.0","-0.61","0.0754","BRAIN-DERIVED 
NEUROTROPHIC 
FACTOR (BDNF) 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2380%HOMO 
SAPIENS ","1.0","HRAS|RAF1|TRAF6|MAP2K2|SHC1|APC|IRS1|SORT1|EIF4E|STAT3|KSR1|PIK3R1|MARCKS|MAPK1|SQSTM1|CNR1|PTK2B|YBX1|FYN|MAP3K2|CRTC1|MAPK3|STAT5B|GSK3B|VAV2|MAP2K1|RPS6KB1|RPS6KA3|NCAM1|SYN1|RPS6KA1|SHC4|KCNA3|CREB1|CAMK4|CDK5|SIRPA|GRIA3|CDKL5|CDC42|STAT1|IKBKB|IKBKG|CHUK|PDPK1|PRKAA1|CTNNB1|PIK3R2|NCK1|MAPK7|ADAM17|KIDINS220|NCK2|RPS6|ALPL|RPS6KA5|CASP3|TSC2|MAPK14|MAP3K1|RELA|NFKB1|CSNK2A1|SRC|MEF2C|PTPN11|CYFIP1|MAP2K5|MAPK9|PPP2CA|CAMK1|EIF2S2|NCF2|EIF2S1|BDNF|NCF1|MTOR|SH2B1|ACACB|RAP1A|RAC1|MAPK8|DOCK3|GRB2|FRS2|TIAM1|CDH2|NFKBIA|BCL2L11|BAD|RANBP9|JUN|VAV3|SH2B2|FOXO3|CDK5R1|FOS|GRIP1|EIF4EBP1","Brain-Derived Neurotrophic Factor (BDNF) signaling pathway","99","ENR","BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2380%HOMO SAPIENS","-1.4482","0.0","BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2380%HOMO SAPIENS",,,"false","BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2380%HOMO SAPIENS"
"40","-0.997","-0.6566","0.0667","BDNF%IOB%BDNF
","1.0","SIRPA|MAPK8|FRS2|TIAM1|CDKL5|RAF1|MAPK9|SHC1|IRS1|BAD|MAPK1|CTNNB1|PTK2B|FYN|MAPK3|GSK3B|RPS6KB1|MAPK7|NCAM1|KIDINS220|SYN1|SHC4|CREB1|KCNA3|RELB|SH2B2|FOXO3|CAMK4|MTOR|SH2B1|TSC2|EIF4EBP1|ACACB","BDNF","33","ENR","BDNF%IOB%BDNF","-1.4676","0.003","BDNF%IOB%BDNF",,,"false","BDNF%IOB%BDNF"
"49","-0.9682","-0.6769","0.0992","NEGATIVE 
REGULATION OF 
STRESS FIBER 
ASSEMBLY%GOBP%GO:0051497 ","1.0","CLASP1|STMN1|CLASP2|WASF2|PHLDB2|PFN1|ARHGEF18|ARHGAP6|PAK2|ARAP1|WAS|PPFIA1|PIK3R1|F11R|INPP5K","negative regulation of stress fiber assembly","15","ENR","NEGATIVE REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051497","-1.407","0.0318","NEGATIVE REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051497",,,"false","NEGATIVE REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051497"
"49","-0.9737","-0.6769","0.099","NEGATIVE 
REGULATION OF 
ACTIN FILAMENT 
BUNDLE 
ASSEMBLY%GOBP%GO:0032232 ","1.0","CLASP1|STMN1|CLASP2|WASF2|PHLDB2|PFN1|ARHGEF18|ARHGAP6|PAK2|ARAP1|WAS|PPFIA1|PIK3R1|F11R|INPP5K","negative regulation of actin filament bundle assembly","15","ENR","NEGATIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0032232","-1.4069","0.0263","NEGATIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0032232",,,"false","NEGATIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0032232"
"41","-0.9949","-0.7037","0.0632","ESTROGEN 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP712%HOMO 
SAPIENS ","1.0","MAP2K1|GNB1|GNAS|CREB1|BRAF|BCL2|MAPK9|PIK3CA|IKBKB|FOS|IKBKG|CHUK|SP1|MAPK1|JUN|MAPK14|NFKB1","Estrogen signaling pathway","17","ENR","ESTROGEN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP712%HOMO SAPIENS","-1.4792","0.0051","ESTROGEN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP712%HOMO SAPIENS",,,"false","ESTROGEN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP712%HOMO SAPIENS"
"41","-0.999","-0.6408","0.0678","
CORTICOTROPIN-RELEASING 
HORMONE 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2355%HOMO 
SAPIENS ","1.0","MAPK8|TRIM28|KRT1|TLR4|GNB1|FOSL2|GNB5|CYP21A2|GNAI1|ECE1|GNAQ|PRKCI|NFKBIA|PRKCB|BRAF|PRKCA|RAF1|BCL2|GNAO1|MAPK9|TCF4|IL18|MAPK1|CTNNB1|MAPK3|PARP1|GSK3B|PLCG2|TGFB1|MAP2K1|CASP9|GNAS|PRKCQ|CREB1|CASP3|FOS|ERN1|ACACA|JUNB|JUND|SP1|MAPK14|ARRB2|RELA|NFKB1|MAP3K5","Corticotropin-releasing hormone signaling pathway","46","ENR","CORTICOTROPIN-RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2355%HOMO SAPIENS","-1.4645","0.001","CORTICOTROPIN-RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2355%HOMO SAPIENS",,,"false","CORTICOTROPIN-RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2355%HOMO SAPIENS"
,"-0.9949","-0.7111","0.0584","POSITIVE 
REGULATION OF 
CELL CYCLE G2/M 
PHASE 
TRANSITION%GOBP%GO:1902751 ","1.0","RCC2|NPM1|CDC7|DYRK3|RAD51B|CDK4|RAD51C|CDC25B|MECP2|RAB11A|STOX1|BRD4|FBXO5|VPS4B|ATAD5|DBF4B","positive regulation of cell cycle G2/M phase transition","16","ENR","POSITIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902751","-1.4904","0.0051","POSITIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902751",,,"false","POSITIVE REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902751"
,"-0.9805","-0.6681","0.0974","HEMATOPOIETIC 
STEM CELL GENE 
REGULATION BY 
GABP ALPHA/BETA 
COMPLEX%WIKIPATHWAYS_20210210%WP3657%HOMO 
SAPIENS ","1.0","CREBBP|BCL2L1|MCL1|GABPA|GABPB2|PTEN|ZFX|BCL2|TERF2|ATM|FOXO3|EP300|SMARCA4|SMAD4|FLT3|ETV6","Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex","16","ENR","HEMATOPOIETIC STEM CELL GENE REGULATION BY GABP ALPHA/BETA COMPLEX%WIKIPATHWAYS_20210210%WP3657%HOMO SAPIENS","-1.4095","0.0195","HEMATOPOIETIC STEM CELL GENE REGULATION BY GABP ALPHA/BETA COMPLEX%WIKIPATHWAYS_20210210%WP3657%HOMO SAPIENS",,,"false","HEMATOPOIETIC STEM CELL GENE REGULATION BY GABP ALPHA/BETA COMPLEX%WIKIPATHWAYS_20210210%WP3657%HOMO SAPIENS"
,"-0.997","-0.6437","0.0881","REGULATION OF 
ACTIN 
CYTOSKELETON 
REORGANIZATION%GOBP%GO:2000249 ","1.0","FES|TEK|HRAS|STAP1|BAIAP2|CDC42|ABI3|ARHGDIA|ABL2|NOTCH2|BAIAP2L1|DAPK3|RAPGEF3|ESAM|HCLS1|ARHGDIB|HCK|IQGAP2|NRP1|PTK2B|TRPM2|F11R|PHPT1|ABL1|HAX1|CSF1R|CDK5|BCAS3","regulation of actin cytoskeleton reorganization","28","ENR","REGULATION OF ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:2000249","-1.4255","0.003","REGULATION OF ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:2000249",,,"false","REGULATION OF ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:2000249"
"57","-0.998","-0.6591","0.0646","REGULATION OF 
LAMELLIPODIUM 
ORGANIZATION%GOBP%GO:1902743 ","1.0","KANK1|OCLN|SRC|CAPZB|BRK1|WASF2|CYFIP1|CDC42|NCKAP1|ENPP2|PIK3CA|ABI3|TWF1|ABI2|PIK3R1|TWF2|AVIL|ARHGEF7|PLCE1|CD44|ARPC2|DMTN|CLRN1|AKIRIN1|RAC2|ACTR3|ACTR2|AUTS2|CORO1B|CORO1C|WAS|RREB1|FER|RAC1","regulation of lamellipodium organization","34","ENR","REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902743","-1.4737","0.002","REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902743",,,"false","REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902743"
"57","-0.992","-0.6543","0.0796","POSITIVE 
REGULATION OF 
LAMELLIPODIUM 
ORGANIZATION%GOBP%GO:1902745 ","1.0","OCLN|SRC|BRK1|WASF2|CYFIP1|CDC42|NCKAP1|ENPP2|PIK3CA|ABI2|PIK3R1|TWF2|AVIL|ARHGEF7|PLCE1|ARPC2|CLRN1|AKIRIN1|RAC2|ACTR3|ACTR2|AUTS2|CORO1B|CORO1C|RREB1|RAC1","positive regulation of lamellipodium organization","26","ENR","POSITIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902745","-1.4409","0.008","POSITIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902745",,,"false","POSITIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902745"
,"-1.0","-0.7873","0.0065","BIOCARTA_HCMV_
PATHWAY%MSIGDB_
C2%BIOCARTA_HCMV_
PATHWAY","0.34","MAP2K1|CREB1|PIK3CA|MAP2K2|PIK3R1|SP1|MAPK1|MAP2K3|MAPK14|RB1|MAP3K1|RELA|MAP2K6|MAPK3|NFKB1","BIOCARTA_HCMV_PATHWAY","15","ENR","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY","-1.6295","0.0","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY",,,"false","BIOCARTA_HCMV_PATHWAY%MSIGDB_C2%BIOCARTA_HCMV_PATHWAY"
,"-0.999","-0.6893","0.0488","RETT SYNDROME 
CAUSING 
GENES%WIKIPATHWAYS_20210210%WP4312%HOMO 
SAPIENS ","0.996","KDM5B|TRRAP|MEF2C|STXBP1|CHD4|RHOBTB2|SYNGAP1|SMC1A|TAF1B|HIVEP2|BRAF|CDKL5|GNAO1|CRK|XAB2|NCOR1|SCN8A|TCF4|EIF2B2|HDAC8|HDAC5|TBL1XR1|HDAC1|NCOR2|HTT|TBL1X|SMARCA4|GPS2","Rett syndrome causing genes","28","ENR","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS","-1.518","0.001","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS",,,"false","RETT SYNDROME CAUSING GENES%WIKIPATHWAYS_20210210%WP4312%HOMO SAPIENS"
,"-0.9868","-0.662","0.0975","MYOGENESIS%REAC
TOME%R-HSA-5257
93.2
","1.0","ABL1|MEF2D|CDON|MEF2C|CDH2|NEO1|CDC42|TCF4|TCF3|CDH4|BNIP2|TCF12|SPAG9|MEF2B|CTNNA2|CTNNB1|MAPK14|CTNNA1|MAP2K6|MEF2A","Myogenesis","20","ENR","MYOGENESIS%REACTOME%R-HSA-525793.2","-1.4091","0.0132","MYOGENESIS%REACTOME%R-HSA-525793.2",,,"false","MYOGENESIS%REACTOME%R-HSA-525793.2"
"15","-1.0","-0.6257","0.0807","
PEPTIDYL-THREONINE 
PHOSPHORYLATION%GOBP%GO:0018107 ","1.0","CSNK2A1|ACVR1|CSNK2A2|LMTK2|PRKCB|WNK1|PRKCA|DYRK1A|DYRK1B|TNKS|HIPK1|MAPK1|TAF1|STK39|PRKD2|GSK3B|AKT1|GSK3A|MAP2K1|CAMK2D|HIPK3|CDC42BPA|HIPK2|PKN1|DYRK2|TBK1|VRK1|LRRK2|CDK5|ROCK2|MAPK8|ROCK1|NLK|CDK10|PDPK1|PRKCD|MAP3K10|MAP3K12|ULK1|CDK5R1|PRKD1|DYRK3|TGFBR1|TGFBR2|CIT|DYRK4|CDC42BPB|PRKDC|ACVR1B|SBK1|CAD|CSNK2B|MARK2|OXSR1","peptidyl-threonine phosphorylation","54","ENR","PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107","-1.4361","0.0","PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107",,,"false","PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107"
"15","-1.0","-0.6337","0.0484","PEPTIDYL-SERINE 
PHOSPHORYLATION%GOBP%GO:0018105 ","0.997","TLK1|TTBK2|ATM|AURKA|MAP2K2|PRKCE|MAPK1|GSK3B|AKT1|RPS6KB1|CAMK2D|RPS6KB2|RPS6KA3|RPS6KA2|HIPK2|RPS6KA1|PRKCQ|PRKACA|CAMK4|LRRK2|PRKCZ|RIPK1|CDK5|ROCK2|ROCK1|SGK1|NLK|IKBKB|CHUK|PDPK1|MAPKAPK2|CAB39|PRKCD|MAP3K10|MAP3K13|PRKX|MAP3K12|EIF2AK3|ULK1|RPS6KA5|MASTL|PKD1|PRKCH|PRKD1|DYRK3|PINK1|MARK3|MKNK1|TGFBR1|TGFBR2|MORC3|DYRK4|CAMK1D|MAPK14|MKNK2|MAPK13|SBK1|STK4|MARK2|CDK2|MAST2|CSNK2A1|CSNK2A2|CSNK1G3|MAPKAPK3|CSNK1G2|CSNK1G1|IKBKE|LMTK2|PRKCI|VRK3|PRKCB|HMGA2|PRKCA|WNK1|DYRK1A|DYRK1B|MAPK9|CDC7|TLK2|VRK2|MAPKAPK5|CSNK1D|TNKS|DMPK|STK38L|CSNK1E|HIPK1|SMG1|NEK6|PRKY|MAP4K1|MAST4|MAST3|SGK3|TAF1|CAMK1|STK39|CSNK1A1|PRKD2|UHMK1|STK32B|STK32C|DGKQ|MST1|SRPK2|HIPK3|CSNK1A1L|PIKFYVE|PKN2|PKN1|RICTOR|PDGFB|STK38|ATR|TOP1|RPS6KA4|DYRK2|TBK1|PAK2|PDK3|MTOR|VRK1|GAS6|ERN1|MAPK8|AKT2|AKT3|LATS1|LATS2|CDK5R1|PRKDC","peptidyl-serine phosphorylation","132","ENR","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105","-1.5166","0.0","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105",,,"false","PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105"
"15","-1.0","-0.6254","0.0748","
PEPTIDYL-THREONINE 
MODIFICATION%GOBP%GO:0018210 ","1.0","CSNK2A1|ACVR1|CSNK2A2|LMTK2|PRKCB|WNK1|PRKCA|DYRK1A|DYRK1B|TNKS|HIPK1|MAPK1|TAF1|STK39|PRKD2|GSK3B|AKT1|GSK3A|MAP2K1|CAMK2D|HIPK3|CDC42BPA|HIPK2|PKN1|DYRK2|TBK1|VRK1|LRRK2|CDK5|ROCK2|MAPK8|ROCK1|NLK|CDK10|GALNT11|PDPK1|GALNTL6|GALNT4|GALNT3|GALNT2|GALNT1|PRKCD|MAP3K10|MAP3K12|ULK1|CDK5R1|PRKD1|DYRK3|TGFBR1|TGFBR2|CIT|DYRK4|EOGT|CDC42BPB|PRKDC|ACVR1B|SBK1|CAD|CSNK2B|MARK2|OXSR1","peptidyl-threonine modification","61","ENR","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210","-1.4499","0.0","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210",,,"false","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210"
"15","-1.0","-0.6243","0.0607","PEPTIDYL-SERINE 
MODIFICATION%GOBP%GO:0018209 ","1.0","TLK1|TTBK2|ATM|AURKA|MAP2K2|PRKCE|MAPK1|PARP1|GSK3B|AKT1|RPS6KB1|CAMK2D|RPS6KB2|RPS6KA3|RPS6KA2|HIPK2|RPS6KA1|PRKCQ|PRKACA|CAMK4|LRRK2|PRKCZ|RIPK1|CDK5|ROCK2|ROCK1|SGK1|NLK|POGLUT1|IKBKB|CHUK|PDPK1|MAPKAPK2|CAB39|PRKCD|MAP3K10|MAP3K13|PRKX|MAP3K12|EIF2AK3|ULK1|RPS6KA5|MASTL|PKD1|PRKCH|PRKD1|DYRK3|PINK1|MARK3|MKNK1|TGFBR1|TGFBR2|MORC3|DYRK4|CAMK1D|MAPK14|MKNK2|MAPK13|SBK1|STK4|MARK2|CDK2|MAST2|CSNK2A1|CSNK2A2|CSNK1G3|MAPKAPK3|CSNK1G2|CSNK1G1|IKBKE|LMTK2|PRKCI|VRK3|PRKCB|HMGA2|PRKCA|WNK1|DYRK1A|DYRK1B|MAPK9|CDC7|TLK2|VRK2|MAPKAPK5|CSNK1D|TNKS|DMPK|STK38L|CSNK1E|HIPK1|SMG1|NEK6|PRKY|MAP4K1|MAST4|MAST3|SGK3|TAF1|CAMK1|STK39|CSNK1A1|PRKD2|UHMK1|STK32B|STK32C|DGKQ|MST1|SRPK2|HIPK3|CSNK1A1L|PIKFYVE|PKN2|PKN1|RICTOR|PDGFB|STK38|ATR|TOP1|RPS6KA4|DYRK2|TBK1|PAK2|PDK3|MTOR|VRK1|GAS6|ERN1|MAPK8|AKT2|AKT3|LATS1|LATS2|MBOAT4|GALNT4|GALNT3|GALNT2|GALNT1|NTMT1|NAA10|PARP2|CDK5R1|PRKDC","peptidyl-serine modification","142","ENR","PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209","-1.4862","0.0","PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209",,,"false","PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209"
"45","-0.998","-0.6694","0.0668","HEART VALVE 
DEVELOPMENT%GOBP%GO:0003170 ","1.0","TNFRSF1B|ACVR1|ROCK1|MEF2C|NOTCH1|JAG1|NFATC1|NOTCH2|TNFRSF1A|SMAD4|TGFB1|DCHS1|BMPR2|SOX4|MDM4|OLFM1|GATA3|ROBO1|PDE2A|HECTD1|TGFBR2|MATR3|ZFPM1|BMPR1A|RB1|ROCK2","heart valve development","26","ENR","HEART VALVE DEVELOPMENT%GOBP%GO:0003170","-1.4663","0.002","HEART VALVE DEVELOPMENT%GOBP%GO:0003170",,,"false","HEART VALVE DEVELOPMENT%GOBP%GO:0003170"
"45","-0.998","-0.6956","0.051","HEART VALVE 
MORPHOGENESIS%GOBP%GO:0003179 ","1.0","TGFB1|ACVR1|ROCK1|MEF2C|DCHS1|BMPR2|SOX4|NOTCH1|MDM4|OLFM1|GATA3|JAG1|NFATC1|ROBO1|NOTCH2|TGFBR2|SMAD4|ZFPM1|BMPR1A|RB1|ROCK2","heart valve morphogenesis","21","ENR","HEART VALVE MORPHOGENESIS%GOBP%GO:0003179","-1.5098","0.002","HEART VALVE MORPHOGENESIS%GOBP%GO:0003179",,,"false","HEART VALVE MORPHOGENESIS%GOBP%GO:0003179"
