"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","PHOTOPERIODISM%
GOBP%GO:0009648

",,"PDE6B|PER1|MTA1|CRY2|PML|CLOCK|ID2|BHLHE40|PER2|PPP1CB|PER3|RBM4B|SIK1|FBXL17|PPP1CC|FBXL12|CRY1|PPP1CA|FBXL3|TP53|FBXL6|CRTC1|RBM4","photoperiodism","23","ENR","PHOTOPERIODISM%GOBP%GO:0009648","1.0","0.01","PHOTOPERIODISM%GOBP%GO:0009648","false","PHOTOPERIODISM%GOBP%GO:0009648"
"0.99",,"1.0","
PEPTIDYL-TYROSINE 
DEPHOSPHORYLATION%GOBP%GO:0035335 ",,"PTPN22|PTPRO|PTPN11|PTPN13|DUSP1|PTPRB|DUSP16|PTPN9|DUSP10|DUSP6|PTPRS|DUSP7|UBASH3B|PGP|DUSP3|PTPN1|DUSP5|DUSP2|PTPRJ|PTPN2|PTPN18|PTPN6|PTPN12|DUSP18|DUSP22|PTPRT","peptidyl-tyrosine dephosphorylation","26","ENR","PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335","1.0","0.01","PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335","false","PEPTIDYL-TYROSINE DEPHOSPHORYLATION%GOBP%GO:0035335"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
CELLULAR 
RESPONSE TO 
INSULIN 
STIMULUS%GOBP%GO:1900077 ",,"KANK1|GSK3A|IL1B|PTPRE|NCK1|PTPN1|RPS6KB1|PTPN2|PRKCD|PRKCQ|PRKCB|PIP4K2C|PIP4K2A|APPL2|SLC27A4|PIP4K2B|IRS1|TSC2|PID1|PRKCZ|INPP5K|GRB10|TSC1","negative regulation of cellular response to insulin stimulus","23","ENR","NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077","1.0","0.01","NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077","false","NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS%GOBP%GO:1900077"
"0.99",,"1.0","PID_HDAC_CLASSII_
PATHWAY%MSIGDB_
C2%PID_HDAC_
CLASSII_PATHWAY",,"SUMO1|GNG2|GNB1|BCOR|MEF2C|ADRBK1|RFXANK|ANKRA2|RAN|RANBP2|HDAC11|NR3C1|HDAC10|HDAC5|GATA2|HDAC4|HDAC9|HDAC7|GATA1|NCOR2|BCL6|CAMK4|HDAC3|UBE2I|TUBA1B|TUBB2A","PID_HDAC_CLASSII_PATHWAY","26","ENR","PID_HDAC_CLASSII_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSII_PATHWAY","1.0","0.01","PID_HDAC_CLASSII_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSII_PATHWAY","false","PID_HDAC_CLASSII_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSII_PATHWAY"
"0.99",,"1.0","REGULATION OF 
PURINE 
NUCLEOTIDE 
BIOSYNTHETIC 
PROCESS%GOBP%GO:1900371 ",,"ZBTB7A|GIT1|PDPR|PDP1|PDP2|PDK1|ENO1|NCOR1|CBFA2T3|ARNT|INSR|PARP1|FBP1|SPHK2|HIF1A|PDK3|TMSB4X|PPARA|PDK4|GAPDHS|ENTPD5|PFKFB2|PFKFB4|SLC4A4|PFKFB3|EIF6|ZBTB20|APP|SEH1L|AAAS|EP300|NUP50|NUP54|NUP214|RANBP2|NUP43|NUP210|FLCN|PRKAG1|NUP35|NUP37|PRKAG2|NUP98|PRKAA1|HDAC4|NUP205|POM121C|NUP85|PSEN1|NUP88|POM121|TPR|VCP|NDC1|RAE1|NUP188|SEC13|NUP62|NUP160|NUP107|JMJD8|NUP155|SLC2A6|NUP153|PGAM1|NUP93|NUP133|P2RX7|DNAJC30|AK4|PINK1|PDK2|PID1|GSTZ1","regulation of purine nucleotide biosynthetic process","74","ENR","REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371","1.0","0.01","REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371","false","REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900371"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
NUCLEAR-TRANSCRIBED 
MRNA CATABOLIC 
PROCESS, 
DEADENYLATION-DEPENDENT 
DECAY%GOBP%GO:1900153 ",,"AGO2|TNRC6A|EIF4ENIF1|TNRC6B|CNOT1|ZFP36L2|ZFP36L1|DHX36|ZFP36|NANOS1|TOB1|BTG2|CPEB3|PABPC1|TNRC6C|POLR2G|CNOT7","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","17","ENR","POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:1900153","1.0","0.01","POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:1900153","false","POSITIVE REGULATION OF NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:1900153"
"0.99",,"1.0","IGF1R SIGNALING 
CASCADE%REACTOME 
DATABASE ID 
RELEASE 
75%2428924 ",,"PIK3R4|PIK3R2|FLT3LG|IGF1R|SOS1|PIK3C3|FRS2|HRAS|TLR9|PTPN11|TRIB3|AKT2|PIK3CA|GAB2|THEM4|IRS1|PDPK1|PIK3R1|PDE3B|IRS2|FLT3|PIK3CB|GAB1|NRAS","IGF1R signaling cascade","24","ENR","IGF1R SIGNALING CASCADE%REACTOME DATABASE ID RELEASE 75%2428924","1.0","0.01","IGF1R SIGNALING CASCADE%REACTOME DATABASE ID RELEASE 75%2428924","false","IGF1R SIGNALING CASCADE%REACTOME DATABASE ID RELEASE 75%2428924"
"0.99",,"1.0","COLLAGEN 
METABOLIC 
PROCESS%GOBP%GO:0032963 ",,"TNXB|MMP8|CTSD|CTSB|VIPAS39|MMP24|FURIN|COL19A1|PHYKPL|CTSK|HIF1A|TRAM2|MMP25|MMP28|MMP17|VPS33B|RCN3|CTSL|COL13A1|MRC2|MMP9|CTSS","collagen metabolic process","22","ENR","COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963","1.0","0.01","COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963","false","COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963"
"0.99",,"1.0","REGULATION OF 
PEPTIDE HORMONE 
SECRETION%GOBP%GO:0090276 ",,"PAX8|BRSK2|CACNA1A|GLUD1|ENSA|PRKCA|CACNA2D2|BMP8A|ITPR1|ITPR2|ITPR3|CAPN10|PER2|IRS1|KLF7|IRS2|TNF|CACNA1E|AIMP1|NNAT|PICK1|CHGA|KCNG2|FFAR2|LRP5L|HFE|CDK16|RAP1A|CACNA1D|TCF7L2|PPP3CB|CLOCK|GPLD1|DPP4|ARNTL|CCL5|BAIAP3|GHRL|RAPGEF3|PSMD9|BAD|SLC8B1|BLK|STX4|EFNA5|IL1B|SLC2A1|CHD7|NR1D1|SOX4|PIM3|ALOX5|MCU|PASK|CACNA1C|STXBP4|LRRC8A|HADH|TFR2|C2CD2L|AACS|TM7SF3|ACSL4|PLA2G6|MIDN|REST|UQCC2|MYRIP|RAPGEF4|RFX3","regulation of peptide hormone secretion","70","ENR","REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276","1.0","0.01","REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276","false","REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276"
"0.99",,"1.0","DEFENSE RESPONSE 
TO OTHER 
ORGANISM%GOBP%GO:0098542 ",,"OPTN|IGLL5|IGHG1|EIF2AK2|CALCOCO2|BST2|NT5C3A|PPP1R11|IFITM2|RTP4|IFIT3|OASL|TRIM5|MLKL|SHC1|TRIM25|FGR|TLR6|MPO|GBP4|IRF1|BATF2|G3BP1|RSAD2|MICA|OAS1|IFI27|ZBP1|PRF1|RNASE6|IRF7|RNASE2|GAPDH|NLRP1|SERINC5|GBP2|NLRC5|TNFSF4|MX1|ISG15|TIRAP|CAMP|NLRC4|SERINC3|MOV10|PF4|PLSCR1|CLPB|IFIT2|CD40|IFITM3|IFITM1|TLR2|IL6R|MR1|CLEC6A|STAT2|TLR4|IRF2|IRF3|IFIH1|PGLYRP1|RIPK3|ISG20|NAIP|SAMHD1|MX2|STAT1|IFIT5|IFIT1|IRF4|IL23R|IFNAR2|MYD88|IFI16|OAS2|OAS3|RNASEL|SETD2|TRIM56|TNFRSF14|ROMO1|ADAM17|APOL1|DEFB104B|BPI|EXOSC5|DEFA4|PRKCD|EXOSC4|SPN|BATF|DEFB103B|RPL30|LYST|LYZ|HMGB2|RELA|S100A8|SKP2|SELP|PHB|SLFN13|PI3|TLR9|RPS19|CFP|RPL39|SLC11A1|PYCARD|FPR2|S100A12|ANXA3|ANKRD17|DDIT4|FLNA|SLFN11|MPEG1|AGBL5|GSDMB|DEFB106B|CLEC7A|ABCE1|DEFB107B|AGBL4|SLAMF8|SLPI|ABCC9|LCN2|CHGA|PQBP1|CEBPB|GNLY|GSDMD|IFNLR1|PMAIP1|LTF|ATG7|FAM3A|LGALS8|IFI44L|BNIP3L|IFIT1B|TTC4|PTPRC|BCL2L1|NOD1|BCL2|TLR8|BNIP3|TLR7|NOD2|RAB1A|IFI6|SYK|F2RL1|DDX58|FADD|MAVS|LILRB1|PHB2|STAB1|DEFA3|APOBEC3C|APOBEC3D|APOBEC3F|APOBEC3G|RNF135|APOBEC3A|APOBEC3B|DEFA1B|FCER1G|TRIM52|PLA2G6|PDE12|DROSHA|S100A9|ZMYND11|CNOT7","defense response to other organism","179","ENR","DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542","1.0","0.01","DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542","false","DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542"
"0.99",,"1.0","RESPONSE TO 
STEROID 
HORMONE%GOBP%GO:0048545 ",,"PHB|RNF14|SRC|RBFOX2|ZFP36|PCK2|AKR1C3|KDM3A|HNRNPU|WBP2|SAFB|NCOA4|TGFB3|CATSPER3|TADA3|CATSPER2|TNF|CALR|DAXX|ZFP36L2|ZFP36L1|CATSPERB|CATSPERG|DDX17|ATP1A1|TFPI|ABCA2|ESR1|THBS1|IL1RN|PADI2|TRERF1|DDX5|ESR2|UBR5|ADTRP|BCL2L11|GOT1|URI1|ZMIZ1|NR3C1|NEDD4|PPARGC1B|NR1H3|UBE3A|ABHD2|TGFB1|PMEPA1|TMF1|ADAM9|KLF9|CALCOCO1|DEFA3|YWHAH|TRIP4|MED1|DDX54|PDCD7|ARID1A|UBE2L3|NR3C2|PAQR8|PAQR7|DEFA1B|ANXA1|REST|EGLN2","response to steroid hormone","67","ENR","RESPONSE TO STEROID HORMONE%GOBP%GO:0048545","1.0","0.01","RESPONSE TO STEROID HORMONE%GOBP%GO:0048545","false","RESPONSE TO STEROID HORMONE%GOBP%GO:0048545"
"0.99",,"1.0","
OSTEOPONTIN-MEDIATED 
EVENTS%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%OSTEOPONTIN-MEDIATED 
EVENTS ",,"MAPK8|CD44|GSN|ITGB3|CDC42|PIK3CA|ITGAV|FOS|PIP5K1A|CHUK|ILK|SYK|PIK3R1|JUN|MAPK1|MMP9|MAP3K1|RHOA|RELA|ROCK2|MAPK3|VAV3|NFKB1|RAC1","Osteopontin-mediated events","24","ENR","OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS","1.0","0.01","OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS","false","OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
PROTEIN 
SECRETION%GOBP%GO:0050714 ",,"CD33|GLUD1|CAPN10|TGFB3|IRS2|C1QTNF3|NNAT|PTPN23|MYOM1|WLS|GOLPH3|APBB1|EZR|TLR2|TCF7L2|TLR4|PPIA|EXPH5|PPP3CB|GOLPH3L|GPLD1|BAIAP3|GHRL|ARF6|BMP6|DNM1L|ABCG1|TMED10|F2RL1|BAD|PSMD9|BLK|STX4|MYO18A|AGER|UNC13B|CD2AP|TGFB1|APBB3|IER3IP1|ADAM9|FRMD4A|EXOC1|PPID|SOX4|HCAR2|SORL1|MCU|MYH10|ADAM8|LRRC8A|ATP13A2|C2CD2L|AACS|ACSL4|TM7SF3|PLA2G6|MYRIP|TTN","positive regulation of protein secretion","59","ENR","POSITIVE REGULATION OF PROTEIN SECRETION%GOBP%GO:0050714","1.0","0.01","POSITIVE REGULATION OF PROTEIN SECRETION%GOBP%GO:0050714","false","POSITIVE REGULATION OF PROTEIN SECRETION%GOBP%GO:0050714"
"0.99",,"1.0","PCNA-DEPENDENT 
LONG PATCH BASE 
EXCISION 
REPAIR%REACTOME 
DATABASE ID 
RELEASE 
75%5651801 ",,"LIG1|RPA1|POLD3|POLD4|POLD2|RFC5|RFC4|APEX1|FEN1|POLE2|POLE3|RFC1|POLE|POLE4|PCNA|POLB|RFC3|RPA2|RFC2|POLD1|RPA3","PCNA-Dependent Long Patch Base Excision Repair","21","ENR","PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 75%5651801","1.0","0.01","PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 75%5651801","false","PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR%REACTOME DATABASE ID RELEASE 75%5651801"
"0.99",,"1.0","NEGATIVE 
REGULATION OF MET 
ACTIVITY%REACTOME%R-HSA-6807004.1 ",,"RPS27A|PTPN1|CBL|UBB|PTPRJ|UBC|PTPN2|STAM|SH3GL1|STAM2|UBA52|LRIG1|SH3KBP1|EPS15|HGS|HGF|USP8","Negative regulation of MET activity","17","ENR","NEGATIVE REGULATION OF MET ACTIVITY%REACTOME%R-HSA-6807004.1","1.0","0.01","NEGATIVE REGULATION OF MET ACTIVITY%REACTOME%R-HSA-6807004.1","false","NEGATIVE REGULATION OF MET ACTIVITY%REACTOME%R-HSA-6807004.1"
"0.99",,"1.0","ALPHA6BETA4INTE
GRIN%IOB%ALPHA6
BETA4INTEGRIN
",,"EIF6|GRB2|EPHB2|SRC|PIK3CD|YWHAQ|PTPN11|PRKCA|PIK3CA|ERBB2|SHC1|IRS1|EIF4E|PIK3R1|BAD|PAK1|RPSA|FYN|PIK3R2|YWHAZ|ITGA6|LAMB1|LAMC1|NTN1|CASP3|CD151|DST|SMAD2|MTOR|PLEC|YES1|PIK3R3|COL17A1|DSP|EIF4EBP1|RAC1","Alpha6Beta4Integrin","36","ENR","ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN","1.0","0.01","ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN","false","ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
ANGIOGENESIS%GOBP%GO:0016525 ",,"HSPG2|PML|FASLG|MAP2K5|AMOT|PTPRM|SPARC|EPN1|ATP2B4|ADAMTS1|RHOA|TNF|KLF2|SEMA6A|KLF4|RGCC|SERPINF1|ATF2|VASH1|SYNJ2BP|THBS1|MECP2|PDE3B|PF4|KRIT1|ROCK2|CCR2|STARD13|CD160|TEK|SPRED1|ROCK1|SLC12A2|FOXO4|E2F2|ITGB1BP1|HHEX|NOTCH1|PDCD10|EPN2|GHRL|STAT1|HDAC5|THBS4|CTNNB1|HGS|STAB1|AGO1|PIK3CB|ISM1|GTF2I|FOXJ2|ALOX5|COL4A3|PGK1","negative regulation of angiogenesis","55","ENR","NEGATIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0016525","1.0","0.01","NEGATIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0016525","false","NEGATIVE REGULATION OF ANGIOGENESIS%GOBP%GO:0016525"
"0.99",,"1.0","PID_EPHA_
FWDPATHWAY%MSIGDB_
C2%PID_EPHA_
FWDPATHWAY",,"EFNA5|VAV2|SRC|CRKL|ROCK1|CBL|LYN|CRK|YES1|EPHA4|FYN|BLK|EPHA1|LCK|CDK5|VAV3|PIK3R5","PID_EPHA_FWDPATHWAY","17","ENR","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY","1.0","0.01","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY","false","PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY"
"0.99",,"1.0","FOXO-MEDIATED 
TRANSCRIPTION OF 
OXIDATIVE 
STRESS, 
METABOLIC AND 
NEURONAL 
GENES%REACTOME 
DATABASE ID 
RELEASE 
75%9615017 ",,"SOD2|CAT|HDAC2|FOXO4|HDAC1|FOXO1|ATXN3|FOXO3|SMAD3|SMAD2|SIN3A|NR3C1|SMAD4|SIRT3|SREBF1|FBXO32|PLXNA4","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","17","ENR","FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 75%9615017","1.0","0.01","FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 75%9615017","false","FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 75%9615017"
"0.99",,"1.0","RAC PROTEIN 
SIGNAL 
TRANSDUCTION%GOBP%GO:0016601 ",,"CDH13|BRK1|TIAM1|RAC2|WASF1|FARP2|CYFIP1|NCKAP1|EPS8|AIF1|DBNL|ELMO1|RHOG|ABI2|RHOH|HACE1|RAC1","Rac protein signal transduction","17","ENR","RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601","1.0","0.01","RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601","false","RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601"
"0.99",,"1.0","
NUCLEOTIDE-BINDING 
OLIGOMERIZATION 
DOMAIN (NOD) 
PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO 
SAPIENS ",,"CARD9|MEFV|NFKBIA|CASP5|NLRP3|NAIP|NOD1|NOD2|IKBKB|IKBKG|NLRP2|IL18|PYCARD|CHUK|NDUFA13|CARD6|NLRP12|RIPK2|IL1B|PRDM1|CASP9|NLRP1|CARD8|AAMP|AIM2|ACAP1|NLRC4|COPS6|RELA|RAC1","Nucleotide-binding Oligomerization Domain (NOD) pathway","30","ENR","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO SAPIENS","1.0","0.01","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO SAPIENS","false","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO SAPIENS"
"0.99",,"1.0","SIGNALING BY 
INSULIN 
RECEPTOR%REACTOME 
DATABASE ID 
RELEASE 75%74752 ",,"PIK3R4|ATP6V0C|FLT3LG|ATP6V0E2|ATP6V0D1|SOS1|PIK3C3|FRS2|TLR9|ATP6V1A|HRAS|ATP6V1D|ATP6V1F|ATP6V0A1|PTPN11|ATP6V1B2|AKT2|PIK3CA|THEM4|SHC1|IRS1|PDPK1|INSR|PIK3R1|MAPK1|IRS2|FLT3|MAPK3|PIK3CB|GAB1|PIK3R2|ATP6AP1|TRIB3|GAB2|TCIRG1|PDE3B|ATP6V1H|ATP6V0A2|ATP6V1E1|ATP6V1G1|ATP6V0E1|ATP6V1C1|GRB10|ATP6V1C2|ATP6V0B|NRAS","Signaling by Insulin receptor","46","ENR","SIGNALING BY INSULIN RECEPTOR%REACTOME DATABASE ID RELEASE 75%74752","1.0","0.01","SIGNALING BY INSULIN RECEPTOR%REACTOME DATABASE ID RELEASE 75%74752","false","SIGNALING BY INSULIN RECEPTOR%REACTOME DATABASE ID RELEASE 75%74752"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
CHEMOKINE 
PRODUCTION%GOBP%GO:0032722 ",,"TLR2|IL6R|EIF2AK2|TLR9|TLR4|APP|HMOX1|AIF1|TLR7|C5|IL18|PYCARD|SYK|F2RL1|LGALS9|OAS3|MAVS|AGER|TNF|CLEC7A|IL1B|OAS1|ADAM17|DDX3X|FFAR2|HIF1A|IL17RA|CD74|TNFSF4|TIRAP|HMGB1|AIRE|CSF1R|IL7|MBP","positive regulation of chemokine production","35","ENR","POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722","1.0","0.01","POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722","false","POSITIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032722"
"0.99",,"1.0","PROGRAMMED CELL 
DEATH%REACTOME 
DATABASE ID 
RELEASE 
75%5357801 ",,"LY96|YWHAE|YWHAQ|YWHAG|YWHAB|OPA1|CYCS|MLKL|ADD1|DAPK2|STAT3|VIM|MAPK1|TICAM2|MAPK3|OGT|AKT1|YWHAZ|PSME2|PRKCQ|KPNA1|FLOT2|BMX|BCAP31|RIPK1|DAPK1|TLR4|ROCK1|LMNB1|GSN|GAS2|GZMB|RIPK3|C1QBP|UBA52|TNFRSF10A|DIABLO|DAPK3|CTNNB1|TRADD|CDC37|APPL1|RPS27A|SPTAN1|CASP9|HSP90AA1|STUB1|PRKCD|YWHAH|CASP6|PELI1|PTK2|APAF1|CASP3|CASP7|HMGB1|HMGB2|OCLN|FASLG|TNFRSF10B|DBNL|CD14|MAPT|BIRC2|TNFSF10|MAGED1|PAK2|PLEC|PSMA4|SDCBP|PSMA1|PSMA2|PSME3|PMAIP1|BMF|PSME4|PSME1|DSP|PSMD10|XIAP|PSMD12|BBC3|TP53BP2|TRAF2|PSMD11|PPP1R13B|PSMD14|MAPK8|DYNLL1|PSMD13|CDKN2A|PSMA7|PSMB10|DFFB|UBB|DFFA|PSMB6|UBC|BAK1|BCL2L1|PSMB7|PSMB4|BID|PPP3R1|PSMB5|PPP3CC|PSMB2|PSMB3|PSMB1|BCL2L11|BCL2|PSMF1|AKT2|TP63|PSMB8|AKT3|PSMB9|PSMC5|DNM1L|PSMC6|PSMC3|BAX|PSMC4|PSMC1|PSMC2|TFDP1|PSMD8|TFDP2|KPNB1|PSMD9|BAD|PSMD6|CASP8|TJP2|PSMD7|DYNLL2|OMA1|PSMD4|CDH1|TP53|FADD|PSMD5|ARHGAP10|TICAM1|PSMD2|PSMD3|PSMD1|FLOT1|PSMA5|FAS|PSMA6|SATB1|PSMA3|ACIN1|PDCD6IP|BIRC3|FNTA|APIP|AVEN|NMT1|UACA|UNC5A|CARD8|STK24","Programmed Cell Death","164","ENR","PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 75%5357801","1.0","0.01","PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 75%5357801","false","PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 75%5357801"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
OSTEOCLAST 
DIFFERENTIATION%GOBP%GO:0045671 ",,"GPR55|GPR137|LILRB3|LRRC17|TLR4|FSTL3|ZNF675|FBN1|FBXW7|LILRB4|LTF|TCTA|LILRB1|MAFB|GPR137B","negative regulation of osteoclast differentiation","15","ENR","NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045671","1.0","0.01","NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045671","false","NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045671"
"0.99",,"1.0","REGULATION OF 
CHEMOTAXIS%GOBP%GO:0050920 ",,"CCR7|LGMN|DUSP1|SEMA3A|BST1|FGFR1|DAPK2|C5|P2RX4|MAPK1|PTK2B|RIN3|MAPK3|SEMA6A|SEMA7A|SEMA3C|PPM1F|SEMA4A|PLA2G7|SEMA4B|SEMA4F|SEMA4G|MTUS1|STX3|CD74|THBS1|TIRAP|IL16|KLRK1|CCR2|PADI2|IL6R|CSF1|PTPRO|USP14|C1QBP|MIF|CCL5|MOSPD2|VEGFA|THBS4|SLC8B1|LGALS9|NRP1|STX4|MPP1|SEMA4D|DDT|DUSP3|TGFB1|C5AR2|ADAM17|NBL1|PTPN2|MEGF8|PTK2|MCU|GPR183|PRKD1|ANGPT2|HMGB1|CAMK1D|PDGFRB|VEGFB|HSPB1|CXCR4|NCKAP1L|ZSWIM6|WNK1|TUBB2B|AIF1|JAM3|FPR2|ZNF580|ZSWIM4|ZSWIM5|CMKLR1|STK39|PRKD2|YTHDF1|CALR|SLAMF8|MST1|AKIRIN1|PDGFB|RAC2|CORO1B|TMSB4X|GAS6|CSF1R|RAC1|CDH13|CREB3|STAP1|MYCBP2|CCR6|NOTCH1|DPP4|P2RY12|DNM1L|F2RL1|CCR1|ANO6|SEMA5A|ADAM10|LYN|CCL4|ROBO1|SEMA4C|ZSWIM8|OXSR1","regulation of chemotaxis","111","ENR","REGULATION OF CHEMOTAXIS%GOBP%GO:0050920","1.0","0.01","REGULATION OF CHEMOTAXIS%GOBP%GO:0050920","false","REGULATION OF CHEMOTAXIS%GOBP%GO:0050920"
"0.99",,"1.0","GOLGI VESICLE 
BUDDING%GOBP%GO:0048194 ",,"PPP6R1|PPP6R3|PREB|SEC31A|PDCD6|TRAPPC9|CSNK1D|GOLGA2|PEF1|COL7A1|SEC23IP|CTSC|F8|CUL3|TRAPPC2|SEC24B|SEC24A|SEC24D|GOSR2|SEC24C|SAR1B|SEC23A|MIA3|GOLPH3|MCFD2|LMAN1|GBF1|VAPB|SAR1A|SEC31B|SCAP|CNIH1|ARFGAP3|SEC23B|SEC16A|TFG|TRAPPC4|TBC1D20|SCFD1|NSF|VAPA|GOLPH3L|TRAPPC10|ARFGAP2|CTSZ|TRAPPC3|TMED2|RAB1A|RAB1B|TMED10|SERPINA1|NAPA|GORASP1|ANKRD28|KLHL12|BET1|MYO18A|USO1|TRAPPC2L|CD59|TRAPPC6A|SEC13|TRAPPC6B|TRAPPC1|PPP6C|TRAPPC5|TMED9|TGFA|STX5|F5","Golgi vesicle budding","70","ENR","GOLGI VESICLE BUDDING%GOBP%GO:0048194","1.0","0.01","GOLGI VESICLE BUDDING%GOBP%GO:0048194","false","GOLGI VESICLE BUDDING%GOBP%GO:0048194"
